2024-01-25 10:54:21.538 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0217 ms
2024-01-25 10:54:21.544 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.3309 ms
2024-01-25 10:54:24.925 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0305 ms
2024-01-25 10:54:24.932 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 0.9846 ms
2024-01-25 10:54:27.962 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0228 ms
2024-01-25 10:54:27.966 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 0.8451 ms
2024-01-25 10:56:18.007 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0353 ms
2024-01-25 10:56:18.024 +07:00 [INF] HTTP GET /api/account responded 200 in 2.1597 ms
2024-01-25 10:56:19.633 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0315 ms
2024-01-25 10:56:23.997 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0251 ms
2024-01-25 10:56:24.021 +07:00 [INF] HTTP GET /api/account responded 200 in 2.6339 ms
2024-01-25 10:56:25.609 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0168 ms
2024-01-25 10:56:25.613 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.9903 ms
2024-01-25 10:56:40.901 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0188 ms
2024-01-25 10:56:40.907 +07:00 [INF] HTTP GET /api/account responded 200 in 1.3690 ms
2024-01-25 10:56:41.937 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0188 ms
2024-01-25 10:56:41.943 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.1482 ms
2024-01-25 10:56:59.115 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0526 ms
2024-01-25 10:56:59.137 +07:00 [INF] HTTP GET /api/account responded 200 in 2.5720 ms
2024-01-25 10:57:00.601 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0178 ms
